timestamp,Sound filtered,Sound RAW,Gain,Resistor 6,Resistor 7
2016/10/23-00:26:54.817,8,14.51,1593.61,0.00,392.16
2016/10/23-00:26:54.853,16,35.46,1593.61,0.00,392.16
2016/10/23-00:26:54.900,17,20.95,1593.61,0.00,392.16
2016/10/23-00:26:54.915,15,12.89,1593.61,0.00,392.16
2016/10/23-00:26:54.932,14,14.51,1593.61,0.00,392.16
2016/10/23-00:26:54.949,22,41.90,1593.61,0.00,392.16
2016/10/23-00:26:54.965,21,21.76,1593.61,0.00,392.16
2016/10/23-00:26:54.982,18,12.89,1593.61,0.00,392.16
2016/10/23-00:26:54.998,17,16.92,1593.61,0.00,392.16
2016/10/23-00:26:55.15,15,12.09,1593.61,0.00,392.16
2016/10/23-00:26:55.31,13,11.28,1593.61,0.00,392.16
2016/10/23-00:26:55.55,10,4.84,1593.61,0.00,392.16
2016/10/23-00:26:55.75,9,8.86,1593.61,0.00,392.16
2016/10/23-00:26:55.94,8,7.25,1593.61,0.00,392.16
2016/10/23-00:26:55.114,8,8.06,1593.61,0.00,392.16
2016/10/23-00:26:55.134,94,296.56,1593.61,0.00,392.16
2016/10/23-00:26:55.154,172,357.80,1593.61,0.00,392.16
2016/10/23-00:26:55.173,206,287.69,1593.61,0.00,392.16
2016/10/23-00:26:55.193,210,220.81,1593.61,0.00,392.16
2016/10/23-00:26:55.213,196,166.81,1593.61,0.00,392.16
2016/10/23-00:26:55.232,170,112.82,1593.61,0.00,392.16
2016/10/23-00:26:55.252,138,65.27,1593.61,0.00,392.16
2016/10/23-00:26:55.271,109,44.32,1593.61,0.00,392.16
2016/10/23-00:26:55.290,82,21.76,1593.61,0.00,392.16
2016/10/23-00:26:55.309,63,20.95,1593.61,0.00,392.16
2016/10/23-00:26:55.328,48,14.51,1593.61,0.00,392.16
2016/10/23-00:26:55.348,36,8.86,1593.61,0.00,392.16
2016/10/23-00:26:55.367,28,10.48,1593.61,0.00,392.16
2016/10/23-00:26:55.386,21,7.25,1593.61,0.00,392.16
2016/10/23-00:26:55.406,18,12.89,1593.61,0.00,392.16
2016/10/23-00:26:55.426,16,13.70,1593.61,0.00,392.16
